id,s_id,stamp,time,amplitude
1,1,20230502185207,1212,214
2,2,20230502185207,2364,212
3,3,20230502185207,3516,216
4,4,20230502185207,4668,219
5,5,20230502185207,5820,220
6,6,20230502185207,6972,220
7,7,20230502185208,8124,220
8,8,20230502185208,9276,218
9,9,20230502185208,10428,214
10,10,20230502185208,11580,217
11,11,20230502185208,12732,225
12,12,20230502185208,13884,226
13,13,20230502185208,15036,225
14,14,20230502185208,16188,224
15,15,20230502185208,17340,214
16,16,20230502185208,18492,215
17,17,20230502185208,19644,220
18,18,20230502185208,20796,224
19,19,20230502185208,21948,221
20,20,20230502185208,23100,218
21,21,20230502185208,24252,214
22,22,20230502185208,25404,214
23,23,20230502185208,26556,217
24,24,20230502185208,27708,215
25,25,20230502185208,28860,210
26,26,20230502185208,30012,208
27,27,20230502185208,31164,207
28,28,20230502185208,32316,210
29,29,20230502185208,33468,214
30,30,20230502185208,34620,217
31,31,20230502185208,35772,211
32,32,20230502185208,36924,210
33,33,20230502185208,38076,214
34,34,20230502185208,39228,212
35,35,20230502185208,40380,213
36,36,20230502185208,41532,217
37,37,20230502185208,42684,217
38,38,20230502185208,43836,213
39,39,20230502185208,44988,213
40,40,20230502185208,46140,213
41,41,20230502185208,47292,212
42,42,20230502185208,48444,215
43,43,20230502185208,49596,219
44,44,20230502185208,50748,218
45,45,20230502185208,51900,216
46,46,20230502185208,53052,216
47,47,20230502185208,54204,214
48,48,20230502185208,55356,213
49,49,20230502185208,56508,217
50,50,20230502185208,57660,218
51,51,20230502185208,58812,213
52,52,20230502185208,59964,214
53,53,20230502185208,61116,214
54,54,20230502185208,62268,211
55,55,20230502185208,63420,215
56,56,20230502185208,64572,218
57,57,20230502185208,65724,215
58,58,20230502185208,66876,214
59,59,20230502185208,68028,215
60,60,20230502185208,69180,213
61,61,20230502185208,70332,214
62,62,20230502185208,71484,217
63,63,20230502185208,72636,222
64,64,20230502185208,73788,217
65,65,20230502185208,74940,217
66,66,20230502185208,76092,217
67,67,20230502185208,77244,212
68,68,20230502185208,78396,216
69,69,20230502185208,79548,219
70,70,20230502185208,80700,213
71,71,20230502185208,81852,209
72,72,20230502185208,83004,210
73,73,20230502185208,84156,211
74,74,20230502185208,85308,214
75,75,20230502185208,86460,217
76,76,20230502185208,87612,219
77,77,20230502185208,88764,212
78,78,20230502185208,89916,211
79,79,20230502185208,91068,213
80,80,20230502185208,92220,212
81,81,20230502185208,93372,216
82,82,20230502185208,94524,220
83,83,20230502185208,95676,216
84,84,20230502185208,96828,211
85,85,20230502185208,97980,211
86,86,20230502185208,99132,211
87,87,20230502185208,100284,215
88,88,20230502185208,101436,218
89,89,20230502185208,102588,220
90,90,20230502185208,103740,214
91,91,20230502185208,104892,212
92,92,20230502185208,106044,214
93,93,20230502185208,107196,212
94,94,20230502185208,108348,216
95,95,20230502185208,109500,221
96,96,20230502185208,110652,219
97,97,20230502185208,111804,214
98,98,20230502185208,112956,214
99,99,20230502185208,114108,212
100,100,20230502185208,115260,216
101,101,20230502185208,116412,218
102,102,20230502185208,117564,225
103,103,20230502185208,118716,216
104,104,20230502185208,119868,213
105,105,20230502185208,121020,214
106,106,20230502185208,122172,213
107,107,20230502185208,123324,217
108,108,20230502185208,124476,223
109,109,20230502185208,125628,221
110,110,20230502185208,126780,214
111,111,20230502185208,127932,213
112,112,20230502185208,129084,212
113,113,20230502185208,130236,215
114,114,20230502185208,131388,218
115,115,20230502185208,132540,224
116,116,20230502185208,133692,214
117,117,20230502185208,134844,208
118,118,20230502185208,135996,209
119,119,20230502185208,137148,211
120,120,20230502185208,138300,216
121,121,20230502185208,139452,222
122,122,20230502185208,140604,218
123,123,20230502185208,141756,211
124,124,20230502185208,142908,208
125,125,20230502185208,144060,211
126,126,20230502185208,145212,215
127,127,20230502185208,146364,218
128,128,20230502185208,147516,221
129,129,20230502185208,148668,213
130,130,20230502185208,149820,207
131,131,20230502185208,150972,209
132,132,20230502185208,152124,213
133,133,20230502185208,153276,217
134,134,20230502185208,154428,225
135,135,20230502185208,155580,220
136,136,20230502185208,156732,212
